# Address	Name
ff:ff:ff:ff:ff:ff	Broadcast
10.0.0.8	HoneyPot.local
fe80::1027:12a2:9b9a:5d95	HoneyPot.local
12:8e:06:34:80:a4	HoneyPot.local
01:00:5e	ICANN, IANA Department
01:00:5e:00:00:00	IPv4mcast
01:00:5e:00:00:01	IPv4mcast_01
01:00:5e:7f:ff:fa	IPv4mcast_7f:ff:fa
01:00:5e:00:00:fb	IPv4mcast_fb
33:33:00:00:00:00	IPv6mcast
33:33:00:00:00:01	IPv6mcast_01
33:33:00:01:00:02	IPv6mcast_01:00:02
33:33:00:00:00:16	IPv6mcast_16
33:33:00:00:00:fb	IPv6mcast_fb
33:33:ff:9a:5d:95	IPv6mcast_ff:9a:5d:95
b0:bb:e5	Sagemcom Broadband SAS
ac:80:fb	Samsung Electronics Co.,Ltd
ac:80:fb:2e:e0:dc	SamsungElect_2e:e0:dc
2600:1901:0:47fc::	a.nel.cloudflare.com
2a06:c700:2002:e::93eb:1418	a1802.dscw154.akamai.net
2a02:26f0:c000::213:33e2	a1814.dscdi3.akamai.net
15.197.213.252	aa1ba9bef7b18c265.awsglobalaccelerator.com
2606:4700:4400::ac40:9bd1	ab.chatgpt.com
2606:4700:4400::6812:202f	ab.chatgpt.com
13.248.188.196	account.jetbrains.com
2a00:1450:400c:c06::54	accounts.google.com
2a00:1450:400c:c0c::54	accounts.google.com
224.0.0.1	all-systems.mcast.net
142.250.75.142	android.clients.google.com
2a04:4e42:4d::347	api.bitwarden.com
54.171.239.219	api.fing.io
52.19.5.206	api.fing.io
34.242.175.117	api.fing.io
65.9.112.58	api.jetbrains.ai
2a05:d018:76c:b684:b233:ac1f:be1f:7	apiproxy-website-nlb-prod-2-b4de62b516adfbbf.elb.eu-west-1.amaz
255.255.255.255	broadcasthost
2600:1f18:24e6:b902:a46c:a4a6:87fe:c14c	browser-intake-datadoghq.com
2600:1f18:24e6:b901:72e3:1bfe:b271:96b2	browser-intake-datadoghq.com
2600:1f18:24e6:b900:2d16:a724:7ca3:5c63	browser-intake-datadoghq.com
3.223.165.195	capi.grammarly.com
34.202.86.254	capi.grammarly.com
3.211.182.138	capi.grammarly.com
